Topic,Count,Name,Representation,Representative_Docs
171,67,171_monster_verstandiger_sneltest_thuistesten,"['monster', 'verstandiger', 'sneltest', 'thuistesten', 'testuitslag', 'calprotectine', 'afloop', 'ontstekingswaarde', 'deur', 'blijven']","['Daarnaast de vraag of ik donderdag, morgen, nog een Calpro thuis test moet doen om de nieuwe gegevens naast elkaar te kunnen leggen, of is 2 weken ertussen te weinig?', 'Mijn vraag is nu: is dit een normale reactie en hoe lang kan ik hier last van blijven houden?', 'Mijn vraag is nu: is dit een normale reactie en hoe lang kan ik hier last van blijven houden?']"
172,118,172_positief_corona_getest_virus,"['positief', 'corona', 'getest', 'virus', 'covid', '19', 'negatief', 'ben', 'op', 'huisgenoot']","['Ik ben positief getest op corona.', 'Ik ben positief getest op corona.', 'Ik ben echter ook afgelopen zondag positief getest op Corona.']"
173,123,173_geprikt_bloed_bloedbeeld_faeces,"['geprikt', 'bloed', 'bloedbeeld', 'faeces', 'ingeleverd', 'wordt', 'li', 'onlangs', 'afgelopen', 'spiegel']","['Bloed is geprikt.', '15 oktober is bloed geprikt.', 'Ik heb bloed geprikt bij Padua in .']"
174,62,174_jl_agenda_november_lezer,"['jl', 'agenda', 'november', 'lezer', 'ingepland', 'wortelkanaalbehandeling', '71', '31', 'duitsland', 'afspraak']","['Ik heb op 12 januari a.s. een afspraak bij haar staan namelijk.', 'Wij hebben a.s.maandag een afspraak staan om 12.05.', 'Ik heb op 7 november a.s. een poli-afspraak staan met  en op 28 november met  en met .']"
175,65,175_tentamen_lange_ken_ogen,"['tentamen', 'lange', 'ken', 'ogen', 'controleren', 'idee', 'googlen', 'faciliteiten', 'plekje', 'ouderen']","['Vanaf 11 november heb ik de infuus vedoluzomab envanaf mei 2015 heeft  het lange tijd heel goed gegaan, weinig bloed, weinig slijm en ook geen diaree,  Ik heb een tijdje van  9 mg, voorgeschreven gekregen en dit werkte in combinatie met het infuus goed en voelde ik me weer vrij om van alles te ondernemen.', 'Ja graag, ik laat het liever controleren en kan dan ook nog het plekje in mijn gezicht laten controleren want deze is nog steeds niet helemaal weg.', 'Ja graag, ik laat het liever controleren en kan dan ook nog het plekje in mijn gezicht laten controleren want deze is nog steeds niet helemaal weg.']"
176,51,176_wijsheid_beste_wat_verstandigst,"['wijsheid', 'beste', 'wat', 'verstandigst', 'vedo', 'slim', 'wijs', 'doen', 'verstandig', 'nu']","['Wat is wijsheid nu?', 'Wat is wijsheid?', 'Wat is wijsheid verder?']"
177,43,177_horen_fijn_hoor_graag,"['horen', 'fijn', 'hoor', 'graag', 'jullie', 'lezen', 'om', 'toppie', 'journaal', 'uitzagen']","['Fijn om te horen.', 'Fijn om te horen.', 'fijn om te horen.']"
178,62,178_sticker_halfjaarlijkse_coach_gestickerde,"['sticker', 'halfjaarlijkse', 'coach', 'gestickerde', 'vertrekken', 'gekomen', 'vangen', 'formulieren', 'laboratoriumformulieren', 'ibd']","['IBD coach,  Kunt u mij voor de jaarlijkse controle bij , gestickerde formulieren voor bloedprikken en calprotectine toesturen.', 'IBD Coach,  Kunt u mij voor de halfjaarlijkse controle gestickerde laboratoriumformulieren voor bloedprikken en calprotectine toesturen.', 'IBD coach,  Kunt u mij voor de halfjaarlijkse controle bij  gestickerde formulieren voor bloedprikken en calprotectine toesturen.']"
179,115,179_ingevuld_uiteindelijk_gevolg_vragenlijst,"['ingevuld', 'uiteindelijk', 'gevolg', 'vragenlijst', 'consult', 'twijfel', 'verbinding', 'sessie', 'kwam', 'behandelend']","['Omdat zij ons niet op consult wilde ontvangen en de klachten dermate ernstig leken, heb ik contact opgenomen met de huisarts.', 'Dr sommer als de verwijsbrief daar heen kan dan bel ik morgen vroeg effe zelf voor een afspraak en ga morgen de zink en selenium halen.', 'Ik dacht dat ik de uitslag van de bloed test via mijn IBD coach zou krijgen, maar heb tot heden nog geen bericht ontvangen.']"
180,60,180_inhouden_verwarring_gesprekken_hoeft,"['inhouden', 'verwarring', 'gesprekken', 'hoeft', 'effe', 'controleer', 'collega', 'langere', 'controlestrook', 'kweek']","['Nee ik heb geen onderzoek laten uitvoeren, maar ik heb zelf geen idee hoever mijn werverkolom aan elkaar gegroeid al is en ik zou dit wel graag willen weten.', 'Volgens uw collega toen (weet effe zijn naam niet) had ik toen niet echt een verhoogd risico, maar mijn werkgever stelt me de vraag, vandaar nogmaals mijn vraag.', 'Mijn excuses voor de verwarring maar misschien is het mogelijk ook te vragen waarvoor er bloed geprikt is in de vragenlijst.']"
