Topic,Count,Name,Representation
75,141,75_waardes_waarde_waarden_gemeten,"['waardes', 'waarde', 'waarden', 'gemeten', 'norm', 'goed', 'benieuwd', 'boosterprik', 'gedaald', 'allemaal']"
76,149,76_griep_griepprik_buikgriep_griepspuit,"['griep', 'griepprik', 'buikgriep', 'griepspuit', 'ziek', 'griepklachten', 'longontsteking', 'jaarlijkse', 'griepverschijnselen', 'virus']"
77,194,77_sturen_opsturen_toesturen_helpen,"['sturen', 'opsturen', 'toesturen', 'helpen', 'verstuurd', 'nakijken', 'opgestuurd', 'post', 'doorgeven', 'aub']"
78,235,78_uitslag_bekend_uitslagen_ontlasting,"['uitslag', 'bekend', 'uitslagen', 'ontlasting', 'hallo', 'informeren', 'resultaten', 'goedemorgen', 'ingeleverd', 'vragen']"
79,117,79_coronavirus_corona_virus_vaccinatie,"['coronavirus', 'corona', 'virus', 'vaccinatie', 'vaccin', 'besmetting', 'ivm', 'vraag', 'dichterbij', 'weerstand']"
80,166,80_dank_alvast_bedankt_dankjewel,"['dank', 'alvast', 'bedankt', 'dankjewel', 'hartelijk', 'mvg', 'siao', 'hartstikke', 'voorbaat', 'vriendelijk']"
81,104,81_reumatoloog_reuma_artrose_reumatische,"['reumatoloog', 'reuma', 'artrose', 'reumatische', 'reumatologie', 'overgang', 'crohn', 'fibromyalgie', 'gewrichtsklachten', 'verwijzing']"
82,292,82_gepland_datum_scopie_infuus,"['gepland', 'datum', 'scopie', 'infuus', 'staat', 'geboortedatum', 'volgende', 'eind', 'begin', 'plaats']"
83,117,83_vedolizumab_vedoluzimab_infuus_remsima,"['vedolizumab', 'vedoluzimab', 'infuus', 'remsima', 'werking', 'staat', 'entyvio', 'geplend', 'ustekinumab', 'overstap']"
84,103,84_vriendelijke_groet_alvast_voorbaat,"['vriendelijke', 'groet', 'alvast', 'voorbaat', 'groeten', 'bedankt', 'dank', 'hartelijk', 'hartelijke', 'dankjewel']"
85,433,85_bespreken_overleggen_gesprek_overleg,"['bespreken', 'overleggen', 'gesprek', 'overleg', 'graag', 'poliafspraak', 'belafspraak', 'besproken', 'voorstel', 'kijken']"
86,190,86_beter_voel_voelde_voelen,"['beter', 'voel', 'voelde', 'voelen', 'stuk', 'rust', 'verminderd', 'gaat', 'ging', 'gelukkig']"
87,248,87_aanstaande_infuus_komende_vrijdagen,"['aanstaande', 'infuus', 'komende', 'vrijdagen', 'donderdagochtend', 'aankomende', 'haal', 'spreekuur', 'langs', 'volgende']"
88,206,88_beter_gaat_verbetering_gelukkig,"['beter', 'gaat', 'verbetering', 'gelukkig', 'verschil', 'hoop', 'veranderd', 'stuk', 'update', 'verbeterd']"
89,169,89_mogelijk_mogelijkheden_optie_proberen,"['mogelijk', 'mogelijkheden', 'optie', 'proberen', 'hoor', 'indien', 'graag', 'termijn', 'uiteraard', 'ver']"
90,157,90_maanden_maand_jaar_maandelijks,"['maanden', 'maand', 'jaar', 'maandelijks', 'half', 'vragenlijst', 'maandelijkse', 'controle', 'ingevuld', 'vullen']"
91,94,91_spiegel_spiegels_bekend_prikken,"['spiegel', 'spiegels', 'bekend', 'prikken', 'humira', 'geprikt', 'uitslag', 'ustekinumab', 'laten', 'laag']"
92,191,92_huid_gezicht_jeuk_plekken,"['huid', 'gezicht', 'jeuk', 'plekken', 'rode', 'droge', 'vlekken', 'acne', 'bultjes', 'blauwe']"
93,168,93_afspraak_uitnodiging_afspraken_ontvangen,"['afspraak', 'uitnodiging', 'afspraken', 'ontvangen', 'gemaakt', 'sessie', 'gepland', 'staan', 'nieuwe', 'potje']"
94,87,94_mvg_mvrgr_geb_gebdatum,"['mvg', 'mvrgr', 'geb', 'gebdatum', 'mvgr', 'swinkels', 'gebdat', 'kollar', 'kim', 'granustix']"
