model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
mpnet,"(30, 10, 20)",30,10,20,0.6642857142857143,0.3724157454555125,0.6274055588164749,0.67751515,0.6111529949658309,168
mpnet,"(30, 10, 30)",30,10,30,0.6537974683544304,0.3721457699497434,0.6257738945756787,0.6804481,0.6178409008001168,158
mpnet,"(30, 10, 40)",30,10,40,0.6625,0.36756934535048746,0.6353550030411846,0.68716705,0.5782484982611444,168
mpnet,"(30, 15, 10)",30,15,10,0.66524064171123,0.36973318065534855,0.6147178466879806,0.6617847,0.6588924827938423,187
mpnet,"(30, 15, 20)",30,15,20,0.66,0.3781467497520612,0.6264461040017115,0.6829454,0.6134147231206984,170
mpnet,"(30, 15, 30)",30,15,30,0.644311377245509,0.3711370896532913,0.6323979340780181,0.6867696,0.5913324740387655,167
mpnet,"(30, 15, 40)",30,15,40,0.6726114649681528,0.3690173941643435,0.6296847574136599,0.6855821,0.5838176998467861,157
mpnet,"(40, 5, 10)",40,5,10,0.6651612903225806,0.3640992118879471,0.6160213938928066,0.6529203,0.6175490649091661,155
mpnet,"(40, 5, 20)",40,5,20,0.6784172661870503,0.37809302878542533,0.6206596191415702,0.6648511,0.5974853474063085,139
mpnet,"(40, 5, 30)",40,5,30,0.6674242424242425,0.375627693811826,0.6174222309164837,0.66158664,0.6043434908436489,132
mpnet,"(40, 5, 40)",40,5,40,0.6846774193548387,0.37639239153341153,0.6153889519600018,0.6620434,0.6020817626887813,124
mpnet,"(40, 10, 10)",40,10,10,0.6666666666666666,0.37309528932938135,0.6167293418208285,0.6581243,0.6224616357401688,153
mpnet,"(40, 10, 20)",40,10,20,0.6782608695652174,0.3770032411317501,0.6206919027987694,0.6631466,0.6016196891947762,138
mpnet,"(40, 10, 30)",40,10,30,0.675,0.3691599628151413,0.6189263400716326,0.6668921,0.5960748072667137,136
mpnet,"(40, 10, 40)",40,10,40,0.6884297520661157,0.3844830419836405,0.6157160750771038,0.6654288,0.5938860380845837,121
mpnet,"(40, 15, 10)",40,15,10,0.6733333333333333,0.3720062476932483,0.6132983667505213,0.65632397,0.6189839247063401,150
mpnet,"(40, 15, 20)",40,15,20,0.687218045112782,0.376392785790026,0.6177650401764414,0.66321206,0.5964639217879812,133
mpnet,"(40, 15, 30)",40,15,30,0.6682539682539682,0.3774221970998568,0.6177310459786721,0.6594442,0.6002091490551813,126
mpnet,"(40, 15, 40)",40,15,40,0.6865079365079365,0.3802393804346364,0.6179040367890029,0.668606,0.590286728762859,126
mpnet,"(10, 7, 10)",10,7,10,0.5444067796610169,0.35583539591674396,0.6747417808360442,0.73011124,0.6511345120260706,590
