min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
15,7,50,0.6456291650333202,0.4045021108406931,-0.1041449985572507,0.5695885074263453,256,qwen3,run_001,3
15,10,10,0.6281293952180028,0.3899690651378213,-0.1332577150674409,0.6462868273679084,357,qwen3,run_001,3
15,10,20,0.6221022546840267,0.4006669464654534,-0.1178973935825896,0.5928171414657901,316,qwen3,run_001,3
15,10,30,0.6354344122657581,0.403037529759263,-0.1053448425712022,0.58190893596299,295,qwen3,run_001,3
15,10,40,0.6425717399200872,0.4044865317635293,-0.1048454402624479,0.5753347942537131,276,qwen3,run_001,3
15,10,50,0.6511186954872962,0.404110664070385,-0.1061394586759146,0.557073289505722,265,qwen3,run_001,3
15,12,10,0.6257356875334403,0.3886740817630579,-0.1419770407139529,0.6269296323350377,376,qwen3,run_001,4
15,12,20,0.6318138348740835,0.3957170003924634,-0.1191175256151495,0.5988556123691259,315,qwen3,run_001,4
15,12,30,0.6401199600133289,0.4052128509094856,-0.110853299277277,0.5816654492330168,301,qwen3,run_001,4
15,12,40,0.6348084789884716,0.4025385093661678,-0.1028958099981122,0.5772583394205015,269,qwen3,run_001,4
15,12,50,0.6461658232775399,0.4057612351090128,-0.1009030059040286,0.5572193815437059,258,qwen3,run_001,4
15,15,10,0.6289677247265938,0.3919382279824731,-0.1410439995700124,0.6295836376917457,376,qwen3,run_001,4
15,15,20,0.6284646527561507,0.3978956884909615,-0.1180394243751546,0.5872656440224008,322,qwen3,run_001,4
15,15,30,0.641267700606878,0.4001451376480869,-0.1106170376154662,0.5683223764304846,298,qwen3,run_001,4
15,15,40,0.6424198775657184,0.3994899996956226,-0.1097846037238258,0.5496712929145362,278,qwen3,run_001,4
15,15,50,0.6467043314500942,0.4042521847008117,-0.1073877181869566,0.5571463355247139,266,qwen3,run_001,4
20,5,10,0.6322357019064124,0.4070498385240861,-0.1152139003566578,0.6283662040418797,289,qwen3,run_001,5
20,5,20,0.6394557823129252,0.4093238507666817,-0.103093433171511,0.5895057219381544,265,qwen3,run_001,5
20,5,30,0.6350210970464135,0.4114122382665865,-0.0924790488932557,0.5775992208424641,237,qwen3,run_001,5
20,5,40,0.6342342342342342,0.4217486864056167,-0.0832351593405318,0.5555393231068907,222,qwen3,run_001,5
20,5,50,0.6546795758414016,0.4189263127890092,-0.0881003211501179,0.5532505478451425,217,qwen3,run_001,5
20,7,10,0.6291130185979972,0.416544135825875,-0.1061665757428677,0.658290723155588,280,qwen3,run_001,5
20,7,20,0.6363290175171363,0.4106095353921238,-0.1005263473652836,0.5878987095203312,263,qwen3,run_001,5
20,7,30,0.6342105263157894,0.4164226232306932,-0.0841646368948938,0.5868030192354516,228,qwen3,run_001,5
20,7,40,0.6443946188340807,0.4173223651175948,-0.0840677213634396,0.5628439250060872,223,qwen3,run_001,5
20,7,50,0.6474885844748859,0.422065465003293,-0.0837783266100612,0.5439250060871682,219,qwen3,run_001,5
20,10,10,0.634438955539873,0.4085352410901252,-0.1107592302928672,0.6384709033357682,284,qwen3,run_001,6
20,10,20,0.6320279177975959,0.4179100979265561,-0.0949405986191443,0.5859751643535427,259,qwen3,run_001,6
20,10,30,0.6543958423559982,0.4162717711217322,-0.0896853315187724,0.5894570245921598,231,qwen3,run_001,6
20,10,40,0.6437301946582163,0.4168400493919417,-0.0844831240909937,0.5721207694180667,221,qwen3,run_001,6
20,10,50,0.6517527675276753,0.4154532276789645,-0.0903919289682473,0.5545897248599951,217,qwen3,run_001,6
20,12,10,0.6342151675485009,0.4119718062681882,-0.1090763710158115,0.6320915510104699,284,qwen3,run_001,6
20,12,20,0.643723113023074,0.4086179264596263,-0.1021596938699905,0.5823715607499391,256,qwen3,run_001,6
20,12,30,0.6478931998331248,0.4157839810316073,-0.0940284747870333,0.5630387143900657,240,qwen3,run_001,6
20,12,40,0.6523584905660378,0.4122631282995277,-0.0886068320851154,0.5969564158753348,212,qwen3,run_001,6
20,12,50,0.6512915129151291,0.4223405274036997,-0.0886131722987097,0.5477477477477477,217,qwen3,run_001,6
20,15,10,0.6375623663578047,0.4071665801850733,-0.1121672878038919,0.6346968590211833,281,qwen3,run_001,7
20,15,20,0.6340226297307843,0.4124834742102969,-0.096999660621644,0.5883126369612857,257,qwen3,run_001,7
20,15,30,0.647672901261418,0.4155975890963672,-0.0897649851054001,0.5721938154370587,230,qwen3,run_001,7
20,15,40,0.6462264150943396,0.4220993669894264,-0.0807602014761752,0.56518139761383,212,qwen3,run_001,7
20,15,50,0.6551724137931034,0.4167008488201212,-0.0899587543777437,0.551253956659362,215,qwen3,run_001,7
