min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
35,5,30,0.6911379129522811,0.3752711427317983,0.6527882487414577,192,robbert
35,5,40,0.6799775028121485,0.3758423195128764,0.655560689705489,179,robbert
35,7,10,0.6997402597402598,0.3700009691879729,0.7191079549599941,194,robbert
35,7,20,0.6958934517203108,0.3738192808312324,0.6842822053065493,182,robbert
35,7,30,0.6998332406892718,0.3727943701933041,0.6739463508353802,181,robbert
35,7,40,0.6983011130638547,0.3742969961775401,0.6634888980763151,172,robbert
35,10,10,0.689922480620155,0.3677179668163547,0.7211021668814903,195,robbert
35,10,20,0.7018323153803443,0.3750460486083146,0.690945791483256,182,robbert
35,10,30,0.7034949267192785,0.3758732269900029,0.6752352926870789,179,robbert
35,10,40,0.6919431279620853,0.373887485865234,0.6605705391668085,170,robbert
35,15,10,0.6926272066458983,0.3669380529042587,0.7122254918650746,194,robbert
35,15,20,0.6952224052718287,0.3770105495153713,0.6845983608550792,184,robbert
35,15,30,0.6990077177508269,0.3736877051716928,0.6738490722050634,183,robbert
35,15,40,0.6939376103590347,0.3758280678132651,0.6630511442398891,171,robbert
40,5,10,0.6878873239436619,0.3714097611701211,0.6986308032782899,178,robbert
40,5,20,0.699939135727328,0.3771198175194974,0.6841849266762324,165,robbert
40,5,30,0.6859846244825547,0.3823191615995755,0.6417228045429121,170,robbert
40,5,40,0.6946417043253712,0.3785225372364132,0.6579926554634111,156,robbert
