min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
30,10,10,0.6841511562323745,0.3672805208115982,0.6587952041635253,180,mpnet
30,10,20,0.6728803367408298,0.3756031840046852,0.6179138597728544,170,mpnet
30,10,30,0.6565079365079365,0.3781946714414945,0.6061917848196697,161,mpnet
30,10,40,0.6735311932162326,0.3710587993913689,0.5782484982611444,168,mpnet
30,15,10,0.6720955483170467,0.3715112690878264,0.6588924827938423,187,mpnet
30,15,20,0.6752392344497608,0.3772646957047756,0.6143631897662881,171,mpnet
30,15,30,0.664229128580134,0.3730203096283918,0.5965612004182981,168,mpnet
30,15,40,0.6870838881491345,0.377720201202213,0.5938130791118461,153,mpnet
35,5,10,0.6631079478054567,0.3637676697285937,0.6359833653542158,169,mpnet
35,5,20,0.6842783505154639,0.3701899869498551,0.5877818040321993,157,mpnet
35,5,30,0.6704929101958136,0.3738677874000782,0.6057540309832438,150,mpnet
35,5,40,0.6818820224719101,0.3776427535927787,0.5838906588195238,145,mpnet
35,7,10,0.6735781990521327,0.3664349807179299,0.6139011162722828,170,mpnet
35,7,20,0.6879574184963406,0.3712743100700546,0.6000389114521267,152,mpnet
35,7,30,0.6692810457516339,0.3777036006974795,0.5868576570441888,155,mpnet
35,7,40,0.6837242359630419,0.3808761584307721,0.5837447408740485,143,mpnet
35,10,10,0.6628716002530044,0.3756375774413319,0.6231912254675455,160,mpnet
35,10,20,0.6784053156146179,0.3800940557068867,0.6022033609766775,153,mpnet
35,10,30,0.6734265734265734,0.3739068657881973,0.5982635764488436,145,mpnet
35,10,40,0.6833810888252149,0.3776488872894661,0.5807777426493835,142,mpnet
35,15,10,0.6735718769617075,0.3672622754138415,0.6489214231863616,161,mpnet
35,15,20,0.676747311827957,0.3778073375491645,0.6021304020039397,151,mpnet
35,15,30,0.6832425068119891,0.3693954547195877,0.6073834480410516,149,mpnet
35,15,40,0.68828297715549,0.379684797264732,0.5869549356745057,138,mpnet
40,5,10,0.6655886157826649,0.3661416955533774,0.6175490649091661,155,mpnet
40,5,20,0.681917211328976,0.3800669789538398,0.5974853474063085,139,mpnet
40,5,30,0.674347158218126,0.3791427987306914,0.6043434908436489,132,mpnet
40,5,40,0.6928104575163399,0.378168509894454,0.6020817626887813,124,mpnet
10,5,10,0.5607105898585719,0.344595983849702,0.6434495002310368,603,qwen3
10,5,20,0.5736985155759984,0.3394531585271011,0.6104963642111919,494,qwen3
10,5,30,0.5911341664701721,0.3453000055103275,0.5734088864028795,437,qwen3
10,5,40,0.5922671353251318,0.3447060190746673,0.5656509156351078,412,qwen3
10,7,10,0.5540491684743312,0.3478595698515451,0.6527152897687201,575,qwen3
10,7,20,0.5735483870967742,0.3437666160028337,0.609523577908023,479,qwen3
10,7,30,0.5858657243816254,0.3531127395489704,0.5803399888129576,441,qwen3
